Part#,Product#,Product Line,Status,Standard,Non Standard,Sample,Details 1,Details 2
96181-0401,96181,Wastewater - Misc,Standard,96181-0401,,,NoKit,"3 WDV W/4""FLG STL INT:SS/"
97120-167042001,97120,Wastewater - Tanks,SP,,SP,97120-16H16AB,16 / 316SS / NBR / No Finish / None / 316/316L SS / ANSI-RF / 5 PSIG,"16""RF ST-316L 5# W/LEGS C"
1500F1337011408,1500F,Servo Level Gauges,TBD,,,,,"4""150#AL/BSW/DEN/2AI/AVG/"
97571R170B18AD2,97571,Fire Protection,TBD,,,,,"8""AL BV+FA|AW|XOS|IW|SS:T"
94570R180305001,94570,Fire Protection,TBD,,,,,"10X12""AL|HI/SP|CL-P|SS:S&"
94210-461201,94210,Emergency Vents,Standard,94210-9K9D10,,,36in / Standard / Expanda-Seal / ANSI-FF / ALUMINUM,"36""AL ANSI-FF E/V|XOS|SP<"
810384,81038,L&J Spare Parts,TBD,,,,,BISCUIT/MOTOR ASSY SERVO
96311-450621,96311,Fire Protection,Standard,96311-450621,,,NoKit,3X4 ISV 316/RF GPTFE 165F
94570=150102005,94570,Fire Protection,TBD,,,,,"4""AL BV+FA|AL:T/B|LIM SW"
97190-64331123,97190,Wastewater - Misc,Standard,97190-64331123,,,NoKit,"6""AL/FF 316/RTR 17-4/NEO"
94100-03,94100,Pressure / Vacuum Vents,Standard,94100-03,,,NoKit,"6""FF VAC VNT CS BODY F/1."
94020=751105007,94020,Pressure / Vacuum Vents,TBD,,,,,"4""RF/316 O/V|SS:WGT|1.75#"
94020=15010200,94020,Pressure / Vacuum Vents,Standard,94020-4A4C10,,,Open Vent / 4in / ALUMINUM I-ST / ANSI-FF 150# / HIGH / Standard / Lead / FEP,"4""AL/FF BRETH I-ST|FEP|SP"
96330I15230101,96330,Fire Protection,Standard,96330I-15B2601,,,"6 / 6 / Zero Leakage Redundant Springs / Dual Spring - 6"" Valve / 'J'Flange 300 / SRF Serrated","6""300#J IPI|SRF|316|HNBR|"
94250-2232110C,94250,Emergency Vents,Standard,94250-22222501,,,20 / 316SS / ANSI-RF 150 lb. / EPDM / 10.1 PSIG - 11.0 PSIG / Standard / 316SS,"20""150#RF SLEV 316 EPDM 1"
94160-560610061,94160,Pressure / Vacuum Vents,SP,,SP,94160-10C210O10,10in / ANSI 125/150 R.F. / MEDIUM / 316SS / 316SS / Standard / None,"10""RF PV-INCONEL625,SP=10"
97190-64331113,97190,Wastewater - Misc,Standard,97190-64331113,,,NoKit,"6""AL/FF 316/RTR NE0/NUT I"
811257,81125,L&J Spare Parts,TBD,,,,,2000M UPGRADE KIT - 2W 48
94020=190103A6,94020,Pressure / Vacuum Vents,Standard,94020-1A1B10,,,Open Vent / 12in / ALUMINUM I-ST / ANSI-FF 150# / MED / Standard / Lead / FEP,"12""BRETH AL/FF SS/PAL&TRI"
97187-23441001,97187,Wastewater - Misc,SP,,SP,97187-23B334,"Stainless Steel & Quick Release / 12"" / Pipe Stub with Puddle Flange / 316/316L Stainess Steel / Polycarbonate / Neoprene / Dual Wiper / None","24""ANSI V/P|316L|POLY|DUA"
2000M0211005300,2000M,Transmitters,TBD,,,,,92021/SPT/GPE/GLD/12-70VD
94020=771305006,94020,Pressure / Vacuum Vents,TBD,,,,,8X10 BV-316/RF STM/JKT LI
5086,5086,,TBD,,,,,HOT LINE CHARGES-TANK FIT
